name,scan,slice,source,n_prelabels
P21_1_rec000006,P21_1,6,rawdata/P21_1M/P21_1M/P21(1)_rec00000006.tif,32
P21_1_rec000019,P21_1,19,rawdata/P21_1M/P21_1M/P21(1)_rec00000019.tif,30
P21_1_rec000045,P21_1,45,rawdata/P21_1M/P21_1M/P21(1)_rec00000045.tif,37
P21_1_rec000060,P21_1,60,rawdata/P21_1M/P21_1M/P21(1)_rec00000060.tif,38
P21_1_rec000078,P21_1,78,rawdata/P21_1M/P21_1M/P21(1)_rec00000078.tif,38
P21_1_rec000092,P21_1,92,rawdata/P21_1M/P21_1M/P21(1)_rec00000092.tif,35
P21_1_rec000108,P21_1,108,rawdata/P21_1M/P21_1M/P21(1)_rec00000108.tif,40
P21_1_rec000123,P21_1,123,rawdata/P21_1M/P21_1M/P21(1)_rec00000123.tif,42
P21_1_rec000150,P21_1,150,rawdata/P21_1M/P21_1M/P21(1)_rec00000150.tif,35
P21_1_rec000154,P21_1,154,rawdata/P21_1M/P21_1M/P21(1)_rec00000154.tif,35
P21_1_rec000169,P21_1,169,rawdata/P21_1M/P21_1M/P21(1)_rec00000169.tif,34
P21_1_rec000187,P21_1,187,rawdata/P21_1M/P21_1M/P21(1)_rec00000187.tif,38
P21_1_rec000207,P21_1,207,rawdata/P21_1M/P21_1M/P21(1)_rec00000207.tif,39
P21_1_rec000224,P21_1,224,rawdata/P21_1M/P21_1M/P21(1)_rec00000224.tif,38
P21_1_rec000233,P21_1,233,rawdata/P21_1M/P21_1M/P21(1)_rec00000233.tif,32
P21_1_rec000256,P21_1,256,rawdata/P21_1M/P21_1M/P21(1)_rec00000256.tif,36
P21_1_rec000279,P21_1,279,rawdata/P21_1M/P21_1M/P21(1)_rec00000279.tif,34
P21_1_rec000289,P21_1,289,rawdata/P21_1M/P21_1M/P21(1)_rec00000289.tif,36
P21_1_rec000312,P21_1,312,rawdata/P21_1M/P21_1M/P21(1)_rec00000312.tif,39
P21_1_rec000322,P21_1,322,rawdata/P21_1M/P21_1M/P21(1)_rec00000322.tif,37
P21_1_rec000330,P21_1,330,rawdata/P21_1M/P21_1M/P21(1)_rec00000330.tif,35
P21_1_rec000351,P21_1,351,rawdata/P21_1M/P21_1M/P21(1)_rec00000351.tif,31
P21_1_rec000375,P21_1,375,rawdata/P21_1M/P21_1M/P21(1)_rec00000375.tif,33
P21_1_rec000389,P21_1,389,rawdata/P21_1M/P21_1M/P21(1)_rec00000389.tif,34
P21_1_rec000403,P21_1,403,rawdata/P21_1M/P21_1M/P21(1)_rec00000403.tif,37
P21_1_rec000415,P21_1,415,rawdata/P21_1M/P21_1M/P21(1)_rec00000415.tif,35
P21_1_rec000433,P21_1,433,rawdata/P21_1M/P21_1M/P21(1)_rec00000433.tif,40
P21_1_rec000453,P21_1,453,rawdata/P21_1M/P21_1M/P21(1)_rec00000453.tif,36
P21_1_rec000462,P21_1,462,rawdata/P21_1M/P21_1M/P21(1)_rec00000462.tif,34
P21_1_rec000478,P21_1,478,rawdata/P21_1M/P21_1M/P21(1)_rec00000478.tif,37
P21_1_rec000504,P21_1,504,rawdata/P21_1M/P21_1M/P21(1)_rec00000504.tif,39
P21_1_rec000511,P21_1,511,rawdata/P21_1M/P21_1M/P21(1)_rec00000511.tif,40
P21_1_rec000535,P21_1,535,rawdata/P21_1M/P21_1M/P21(1)_rec00000535.tif,41
P21_1_rec000551,P21_1,551,rawdata/P21_1M/P21_1M/P21(1)_rec00000551.tif,39
P21_1_rec000564,P21_1,564,rawdata/P21_1M/P21_1M/P21(1)_rec00000564.tif,40
P21_1_rec000573,P21_1,573,rawdata/P21_1M/P21_1M/P21(1)_rec00000573.tif,43
P21_1_rec000602,P21_1,602,rawdata/P21_1M/P21_1M/P21(1)_rec00000602.tif,41
P21_1_rec000607,P21_1,607,rawdata/P21_1M/P21_1M/P21(1)_rec00000607.tif,43
P21_1_rec000632,P21_1,632,rawdata/P21_1M/P21_1M/P21(1)_rec00000632.tif,38
P21_1_rec000638,P21_1,638,rawdata/P21_1M/P21_1M/P21(1)_rec00000638.tif,42
P21_1_rec000661,P21_1,661,rawdata/P21_1M/P21_1M/P21(1)_rec00000661.tif,37
P21_1_rec000679,P21_1,679,rawdata/P21_1M/P21_1M/P21(1)_rec00000679.tif,41
P21_1_rec000690,P21_1,690,rawdata/P21_1M/P21_1M/P21(1)_rec00000690.tif,40
P21_1_rec000702,P21_1,702,rawdata/P21_1M/P21_1M/P21(1)_rec00000702.tif,42
P21_1_rec000717,P21_1,717,rawdata/P21_1M/P21_1M/P21(1)_rec00000717.tif,41
P21_4_rec000009,P21_4,9,rawdata/P21_4M/P21_4M/P21(4)_rec00000009.tif,44
P21_4_rec000029,P21_4,29,rawdata/P21_4M/P21_4M/P21(4)_rec00000029.tif,43
P21_4_rec000042,P21_4,42,rawdata/P21_4M/P21_4M/P21(4)_rec00000042.tif,46
P21_4_rec000069,P21_4,69,rawdata/P21_4M/P21_4M/P21(4)_rec00000069.tif,44
P21_4_rec000084,P21_4,84,rawdata/P21_4M/P21_4M/P21(4)_rec00000084.tif,45
P21_4_rec000113,P21_4,113,rawdata/P21_4M/P21_4M/P21(4)_rec00000113.tif,43
P21_4_rec000128,P21_4,128,rawdata/P21_4M/P21_4M/P21(4)_rec00000128.tif,50
P21_4_rec000153,P21_4,153,rawdata/P21_4M/P21_4M/P21(4)_rec00000153.tif,50
P21_4_rec000169,P21_4,169,rawdata/P21_4M/P21_4M/P21(4)_rec00000169.tif,43
P21_4_rec000182,P21_4,182,rawdata/P21_4M/P21_4M/P21(4)_rec00000182.tif,41
P21_4_rec000207,P21_4,207,rawdata/P21_4M/P21_4M/P21(4)_rec00000207.tif,41
P21_4_rec000226,P21_4,226,rawdata/P21_4M/P21_4M/P21(4)_rec00000226.tif,47
P21_4_rec000240,P21_4,240,rawdata/P21_4M/P21_4M/P21(4)_rec00000240.tif,47
P21_4_rec000261,P21_4,261,rawdata/P21_4M/P21_4M/P21(4)_rec00000261.tif,46
P21_4_rec000274,P21_4,274,rawdata/P21_4M/P21_4M/P21(4)_rec00000274.tif,49
P21_4_rec000296,P21_4,296,rawdata/P21_4M/P21_4M/P21(4)_rec00000296.tif,41
P21_4_rec000327,P21_4,327,rawdata/P21_4M/P21_4M/P21(4)_rec00000327.tif,47
P21_4_rec000336,P21_4,336,rawdata/P21_4M/P21_4M/P21(4)_rec00000336.tif,48
P21_4_rec000353,P21_4,353,rawdata/P21_4M/P21_4M/P21(4)_rec00000353.tif,42
P21_4_rec000381,P21_4,381,rawdata/P21_4M/P21_4M/P21(4)_rec00000381.tif,38
P21_4_rec000398,P21_4,398,rawdata/P21_4M/P21_4M/P21(4)_rec00000398.tif,37
P21_4_rec000413,P21_4,413,rawdata/P21_4M/P21_4M/P21(4)_rec00000413.tif,39
P21_4_rec000443,P21_4,443,rawdata/P21_4M/P21_4M/P21(4)_rec00000443.tif,47
P21_4_rec000451,P21_4,451,rawdata/P21_4M/P21_4M/P21(4)_rec00000451.tif,40
P21_4_rec000473,P21_4,473,rawdata/P21_4M/P21_4M/P21(4)_rec00000473.tif,41
P21_4_rec000483,P21_4,483,rawdata/P21_4M/P21_4M/P21(4)_rec00000483.tif,44
P21_4_rec000509,P21_4,509,rawdata/P21_4M/P21_4M/P21(4)_rec00000509.tif,38
P21_4_rec000522,P21_4,522,rawdata/P21_4M/P21_4M/P21(4)_rec00000522.tif,43
P21_4_rec000550,P21_4,550,rawdata/P21_4M/P21_4M/P21(4)_rec00000550.tif,43
P21_4_rec000571,P21_4,571,rawdata/P21_4M/P21_4M/P21(4)_rec00000571.tif,40
P21_4_rec000586,P21_4,586,rawdata/P21_4M/P21_4M/P21(4)_rec00000586.tif,42
P21_4_rec000599,P21_4,599,rawdata/P21_4M/P21_4M/P21(4)_rec00000599.tif,39
P21_4_rec000622,P21_4,622,rawdata/P21_4M/P21_4M/P21(4)_rec00000622.tif,37
P21_4_rec000645,P21_4,645,rawdata/P21_4M/P21_4M/P21(4)_rec00000645.tif,37
P21_4_rec000660,P21_4,660,rawdata/P21_4M/P21_4M/P21(4)_rec00000660.tif,43
P21_4_rec000688,P21_4,688,rawdata/P21_4M/P21_4M/P21(4)_rec00000688.tif,44
P21_4_rec000704,P21_4,704,rawdata/P21_4M/P21_4M/P21(4)_rec00000704.tif,45
P21_4_rec000725,P21_4,725,rawdata/P21_4M/P21_4M/P21(4)_rec00000725.tif,43
P21_4_rec000734,P21_4,734,rawdata/P21_4M/P21_4M/P21(4)_rec00000734.tif,41
P21_4_rec000757,P21_4,757,rawdata/P21_4M/P21_4M/P21(4)_rec00000757.tif,42
P21_4_rec000772,P21_4,772,rawdata/P21_4M/P21_4M/P21(4)_rec00000772.tif,41
P21_4_rec000794,P21_4,794,rawdata/P21_4M/P21_4M/P21(4)_rec00000794.tif,40
P21_4_rec000823,P21_4,823,rawdata/P21_4M/P21_4M/P21(4)_rec00000823.tif,36
P21_4_rec000842,P21_4,842,rawdata/P21_4M/P21_4M/P21(4)_rec00000842.tif,37
P21_4_rec000852,P21_4,852,rawdata/P21_4M/P21_4M/P21(4)_rec00000852.tif,38
P50_1_rec000211,P50_1,211,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000211.tif,44
P50_1_rec000219,P50_1,219,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000219.tif,45
P50_1_rec000226,P50_1,226,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000226.tif,44
P50_1_rec000232,P50_1,232,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000232.tif,41
P50_1_rec000239,P50_1,239,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000239.tif,48
P50_1_rec000253,P50_1,253,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000253.tif,43
P50_1_rec000256,P50_1,256,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000256.tif,43
P50_1_rec000263,P50_1,263,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000263.tif,44
P50_1_rec000272,P50_1,272,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000272.tif,47
P50_1_rec000281,P50_1,281,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000281.tif,45
P50_1_rec000290,P50_1,290,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000290.tif,43
P50_1_rec000518,P50_1,518,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000518.tif,43
P50_1_rec000528,P50_1,528,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000528.tif,42
P50_1_rec000555,P50_1,555,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000555.tif,48
P50_1_rec000573,P50_1,573,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000573.tif,48
P50_1_rec000588,P50_1,588,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000588.tif,44
P50_1_rec000593,P50_1,593,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000593.tif,47
P50_1_rec000597,P50_1,597,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000597.tif,46
P50_1_rec000607,P50_1,607,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000607.tif,50
P50_1_rec000618,P50_1,618,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000618.tif,54
P50_1_rec000627,P50_1,627,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000627.tif,47
P50_1_rec000631,P50_1,631,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000631.tif,50
P50_1_rec000644,P50_1,644,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000644.tif,54
P50_1_rec000666,P50_1,666,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000666.tif,49
P50_1_rec000674,P50_1,674,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000674.tif,51
P50_1_rec000700,P50_1,700,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000700.tif,46
P50_1_rec000702,P50_1,702,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000702.tif,48
P50_1_rec000726,P50_1,726,rawdata/P50_1/P50_1/P50_1_HRScan_rec00000726.tif,49
